result_number,min_note,max_note,description
1,0,12,"Precisaremos evoluir consideravelmente no autoconhecimento. Esse é o início desta caminhada. Conhecer a si mesmo é fundamental para saber onde se pode chegar. Desenvolver-se para a excelência passa por ter alta consciência da sua existência. Suas convicções a cerca de si mesmo ajudarão a neutralizar sabotagens e não aceitar as crenças limitantes. Sua felicidade e seu sucesso dependem disso."
1,13,18,"Você já deu bons passos em direção a uma vida espiritual saudável. Ainda temos um caminho para percorrer na estrada do autoconhecimento. Você tem uma boa noção de ""quem é"", e isso é fundamental para saber onde se pode chegar. Desenvolver-se para a excelência passa por ter alta consciência da sua existência. Você com certeza já tem conhecimento de algumas coisas que precisam ser mudadas com urgência. É necessário não parar nesta busca dos sabotadores. Precisaremos gerenciar melhor estes pensamentos para alterar crenças limitantes por crenças poderosas. Sua felicidade e seu sucesso dependem disto."
1,19,24,"Você possui uma maturidade pessoal considerável, deve manter atenção para não ter uma imagem distorcida de si. É essencial gerenciar seus pensamentos e suas crenças para se manter no foco produtivo em relação ao seu propósito. Nessa fase, não se pode permitir sabotagens nem a presença de fantasmas do passado. Hora de desenvolver fortemente suas habilidades para o cumprimento de sua missão."
1,25,30,"Sua capacidade de domínio próprio está elevada, o que te ajudará a desenvolver sua missão com um excelente nível de paz e felicidade. Se as respostas foram respondidas corretamente, você está em excelentes condições neurológicas para se conectar com o mundo e com a sua missão. Sua estabilidade lhe confere a possibilidade de estar entre os melhores naquilo que é o seu chamado ou propósito de vida."
2,0,10,"Você está sentindo necessidade de encontrar o caminho, talvez esteja vendo outras pessoas decolando e você ficando para trás. É hora de tomar as rédeas do seu futuro, conectar-se com o seu propósito, conhecê-lo bem, penetrar no mundo dos outros, melhorar as relações e interconexões. Aceitar e ser aceito. Será preciso melhorar sua espiritualidade e seu conhecimento do Altíssimo. Sua missão vem d'Ele só será completa n'Ele."
2,11,15,"Você está descobrindo a necessidade de se conectar ao propósito de sua vida. Sua espiritualidade precisa evoluir a um nível maior para influenciar na direção de sua vida. Precisa priorizar as leis espirituais e seus retornos, priorizar seu tempo, se organizar mais e estar aberto ao que o espírito irá falar. Ser flexível é fundamental neste momento."
2,16,20,"Você está no caminho de se sentir aceito e bem conectado ao propósito de sua vida. Ouvir a voz de Deus é uma prioridade para você. Saber a direção e seguir com confiança é o que você quer. Este é o momento de se comprometer com seu destino. Precisa evoluir em descobrir e se agarrar ao motivo de sua existência. É hora de organizar suas prioridades e sua agenda de forma que os seus valores não sejam agredidos e, assim, sua felicidade não seja minada."
2,21,25,"Você atingiu uma maturidade essencial ao seu sucesso e à sua felicidade. Tem consciência do mundo dos outros e das leis que regem a sua vida e está focado no que está fazendo. Parabéns! Não deixe esse nível baixar. Aumente sua intimidade e sintonia com o Altíssimo, alinhando cada vez mais seus objetivos ao seu propósito. Esteja sempre atento para não perder o controle para os sabotadores e fragmentos emocionais, não negociando seus valores para seguir em paz na rota de seu sucesso maior e da sua felicidade em fluxo."
3,0,10,"Você está no nível inicial de jornada rumo ao propósito. Neste nível, é necessário ter convicção de onde se vai chegar. Quem não sabe aonde ir, não sai do lugar, não se desenvolve. Hora de traçar suas metas, suas rotas. Não buscar um namoro, mas um casamento com os seus sonhos, por exemplo. Nessa fase, é preciso sonhar com a certeza de que é isso que Deus deseja para você."
3,11,15,"Você está descobrindo sua missão e saindo da fase de namoro com ela. É necessário um comprometimento seguro com seu propósito. Precisa alinhar seu propósito aos seus valores para não sofrer emocionalmente e não se arrepender no futuro. Sua confiança e fé precisam evoluir para gerar autoestima elevada e estabilidade emocional. Há uma jornada rumo às suas conquistas que está apenas começando. Ter uma referência, um mentor, um coach, é essencial para seu crescimento."
3,16,20,"Você está bem consciente do que deseja, precisa afinar o foco. Sentir e ouvir a Deus é essencial para seu desenvolvimento. Sua fé está em nível elevado, mas pode evoluir para neutralizar seus medos e evitar bloqueios na sua caminhada. Precisa avaliar suas crenças e alinhar seus valores para que algumas crises sejam dissolvidas e você possa decolar de vez."
3,21,25,"Você está acima da média. Cheio de convicções do que realmente vale a pena na vida e de para onde você está indo. Abraçou seu propósito de vida e o está gerenciando. Aproxime-se do seu mentor ou coach, porque você está em condições de voar alto. Seus riscos aumentam, e você precisa estar seguro. Outras pessoas precisam de você, digo até que dependem de você. Você se tornou exemplo e precisa brilhar. Cuide para não tropeçar. Continue atento aos sabotares e às possíveis crenças limitantes. Siga com fé."
4,0,18,"A inteligência espiritual é a capacidade de um indivíduo de ser guiado pelo espírito em uma vida plena de sentido e propósito. Propósito é algo que existe para os outros e não apenas para nós. Você está no início de uma jornada que vai depender muito de sua capacidade de entender e absorver esse princípio. Você nasceu para cumprir seu propósito que gera um bem comum a todos. Precisa desenvolver essas habilidades, que são na verdade as habilidades da felicidade. Anime-se, você tem importância. Busque com força esse desenvolvimento."
4,19,27,"Você está no início de uma verdade de iluminação ao próximo. Muitas pessoas esperam que você cumpra o seu propósito. Você precisa evoluir ainda mais. Se aprimore em servir aos outros, em doar-se. Sinta o seu propósito dentro de você e siga desenvolvendo essa habilidade."
4,28,36,"Você tem caminhado bem na sua jornada em busca ao desenvolvimento. Continue focando em pessoas, em doar-se mais sem esperar algo em troca, em semear na alma daqueles que estão ao seu alcance. Deixe seu coração brilhar mais, amar mais. Você atrai pessoas. Saiba usar esse dom de forma mais adequada ao seu propósito. Gere crescimento em outros, e eles te farão crescer ainda mais."
4,37,45,"Você está bem alinhado ao seu propósito, e todos ganham com isso. Você atrai pessoas que querem crescer junto com você, e você tem se tornado referência para algumas delas. Não deixe de exalar esse amor, ele é o vínculo da perfeição. Não permita que decepções te tirem do foco. Você está acima da média, pronto para voar alto. Siga com fé."
