result_number,description
1,"Eu me conheço muito bem."
1,"Eu tenho um propósito, uma causa, uma razão que me tira da cama com ânimo."
1,"Não negocio meus valores e princípios por algo momentâneo."
1,"Gerencio meus pensamentos muito bem."
1,"Sei bem quem está falando no meu interior - se a emoção (sabotadores), eu mesmo ou meu espírito."
1,"Entendo que sou único e especial e não devo me comparar a ninguém, nem para me sentir melhor ou pior."
2,"Me sinto útil e feliz no local onde produzo."
2,"Sou flexível para melhorar a comunicação com os outros."
2,"Faço as coisas na hora certa, sem perder tempo com coisas fora do meu propósito."
2,"Tenho interesse e priorizo o cumprimento de leis espirituais."
2,"Sinto-me conectado a um propósito divino mais amplo no universo criado por Deus."
3,"Estou comprometido com meu desenvolvimento completo e uniforme (corpo, alma e espírito), para melhor cumprir minha missão."
3,"Tenho convicção de receber inspirações divinas para minhas ações, sem ouvir a voz dos sabotadores."
3,"Tenho meu propósito alinhado aos meus valores, para evitar crises e arrependimentos."
3,"Tenho confiança e fé construidos em mim, para neutralizar meus medos e anseios."
3,"Sou mentoreado e me submeto às autoridades constituídas sobre mim."
4,"Gero discípulos e ilumino pessoas, sendo um exemplo a ser seguido."
4,"Provoco o despertamento de outros e influencio o desenvolvimento deles."
4,"Sirvo as pessoas sem visar o retorno, apenas a satisfação por ver o benefício do outro."
4,"Minha presença faz bem aos outros, trazendo paz, confiança e desejo de crescer."
4,"Tenho paz que vem da convicção de estar agindo de acordo com o propósito divino e exalo amor no meu olhar e em minhas ações."
4,"Vivo uma vida de intensa gratidão a Deus e ao próximo."
4,"Tenho facilidade em perdoar e em não sofrer por traições e decepções."
4,"Tenho capacidade de reduzir minha atividade neurológica por meio da oração e meditação."
4,"Tenho capacidade de me colocar no lugar das pessoas, dirigindo minha mente a sentir a alegria e a tristeza do outro."
